序号,Pix1,Pix2,Pix3,Pix4,Pix5,Pix6,Pix7,Pix8,Pix9,Pix10
1,5,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0
5,9,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0,0,0,0
12,5,0,0,0,0,0,0,0,0,0,0
13,3,0,0,0,0,0,0,0,0,0,0
14,6,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0
16,7,0,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,0,0
18,8,0,0,0,0,0,0,0,0,0,0
19,6,0,0,0,0,0,0,0,0,0,0
20,9,0,0,0,0,0,0,0,0,0,0
21,4,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,9,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0,0,0
27,4,0,0,0,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0
30,7,0,0,0,0,0,0,0,0,0,0
